time,lat,lon,PM25_concentration,PM10_concentration,O3_concentration,NO2_concentration,SO2_concentration,CO_concentration
2026-06-09 12:00:00,28.0,-130.75,15.599062042070832,25.747757703697758,0.03996451144803182,0.027815485507044616,0.11464314860131163,0.09073076841181339
2026-06-09 12:00:00,28.0,-130.5,16.265109259449996,26.891251891924867,0.03993067698369047,0.02837607389759153,0.11741483160825018,0.09114647354258648
2026-06-09 12:00:00,28.0,-130.25,16.64927529176903,27.555081771879415,0.03986648314873166,0.029063318917025065,0.12065421730006101,0.09163778480292793
2026-06-09 12:00:00,28.0,-130.0,16.84552053404782,27.899135446318645,0.039782049733361205,0.029835001689049744,0.12420540478178688,0.0921795001496483
2026-06-09 12:00:00,28.0,-129.75,16.729162499729025,27.764381016481853,0.03958482047821126,0.030370426510943734,0.12740272835190625,0.09321778024384722
2026-06-09 12:00:00,28.0,-129.5,16.4453108908448,27.36067195030521,0.039598059491963065,0.031028314033615424,0.12988489546634216,0.0943398516210003
2026-06-09 12:00:00,28.0,-129.25,15.910218920112275,26.553530929618535,0.03992700090906789,0.03186989560745394,0.1312943278972519,0.09558760992258457
2026-06-09 12:00:00,28.0,-129.0,15.438091693909103,25.853099216988277,0.0402555435800699,0.03267233385227672,0.13224398821038638,0.09676944614501559
2026-06-09 12:00:00,28.0,-128.75,15.07618252460929,25.33234955137684,0.040534613864973125,0.03342276738855005,0.13299869711463003,0.09790142199861757
2026-06-09 12:00:00,28.0,-128.5,15.092180838394135,25.42361876578522,0.0406161933515836,0.03400432541964112,0.1334333725010858,0.09889987845605656
2026-06-09 12:00:00,28.0,-128.25,15.313752044221358,25.85144542877039,0.040564089991534984,0.03463621058803812,0.1336271192668734,0.0997205392746914
2026-06-09 12:00:00,28.0,-128.0,15.67237184474367,26.50364372414038,0.04042286473371353,0.035301647181305774,0.1336602469522153,0.10042266966745665
2026-06-09 12:00:00,28.0,-127.75,16.00415977520685,27.081972220343935,0.04000795440717312,0.03585943961978017,0.1335121762374296,0.10097704114228026
2026-06-09 12:00:00,28.0,-127.5,16.365855337596564,27.70869933499372,0.03962501558603127,0.03658387080177856,0.1332356102582875,0.10151454267798923
2026-06-09 12:00:00,28.0,-127.25,16.77241234787614,28.408024377313,0.03929003402298749,0.037558260099063344,0.1327663013826107,0.10202673930502636
2026-06-09 12:00:00,28.0,-127.0,16.630998800337803,28.17452049441745,0.03950379569888071,0.03829107913727965,0.13241344134025682,0.10253465966700914
2026-06-09 12:00:00,28.0,-126.75,16.323590479317037,27.66133100351482,0.03991352875747341,0.03888186381021031,0.1321799413520589,0.10303839560811837
2026-06-09 12:00:00,28.0,-126.5,15.900173622185502,26.96222800580047,0.04055840410792628,0.039146081281066586,0.13230743274716256,0.10352967013078755
2026-06-09 12:00:00,28.0,-126.25,15.844795697716934,26.910425887649414,0.040995143639799156,0.03984646727524085,0.13224037428107668,0.10395673454983208
2026-06-09 12:00:00,28.0,-126.0,16.03477706169079,27.290157689208,0.04129312595928511,0.04083763228496096,0.13204361590753086,0.10434099223312676
2026-06-09 12:00:00,28.0,-125.75,16.51809045100072,28.14675248430336,0.0411247709598995,0.043014280973443085,0.13208276680838935,0.10453533451952954
2026-06-09 12:00:00,28.0,-125.5,17.07037622367093,29.11692353890716,0.04083702794726052,0.045429144778506986,0.1322311386839508,0.10468556220904905
2026-06-09 12:00:00,28.0,-125.25,17.72612057138157,30.25745898277364,0.04037020291474148,0.04820133125844349,0.13254334202156684,0.10476961800324364
2026-06-09 12:00:00,28.0,-125.0,17.968314836025385,30.704903508649156,0.04020016074770543,0.05040649865806654,0.13313020398674463,0.10487515798819214
2026-06-09 12:00:00,28.0,-124.75,18.023636361164254,30.839560238860255,0.040186981224299256,0.05233682396895762,0.13387045717374785,0.10496605433696676
2026-06-09 12:00:00,28.0,-124.5,17.745017011350377,30.416156704405015,0.040504469409929744,0.05373480000523421,0.1349496166204914,0.10497689195029168
